nu,l,n
257.1064764771114,2,10
259.67632394571314,0,11
268.9277748326796,1,11
278.7954618417177,2,11
281.59871926636606,0,12
292.5002759177763,1,12
295.99419096878734,1,12
301.5194519796884,1,12
302.9820210708093,2,12
305.3248400778826,0,13
311.96057021352357,1,13
317.6077119820181,1,13
323.0788037673221,1,13
326.85710725271775,2,13
329.33534932378365,0,14
332.77509514919757,1,14
335.7137756378386,3,13
340.79214053756385,1,14
345.49132085810965,1,14
349.90611274427084,1,14
351.51764720578365,2,14
353.765670068062,0,15
355.7428468023551,1,15
360.3878578973038,3,14
365.2901728138385,1,15
370.19248773037333,1,15
372.03424140067375,1,15
375.97505256286047,2,15
378.23661773153816,0,16
382.380563489714,1,16
384.89943247997775,3,15
390.6007434740693,1,16
398.06255430006564,1,16
400.513711758333,2,16
402.6669384758165,0,17
409.50580320744655,3,16
411.6861145377286,1,17
417.0894947910363,1,17
424.9034055834136,2,17
427.3681053480803,0,18
430.55054735190805,1,18
434.4507315948971,3,17
440.0572464441938,1,18
446.8419419502268,1,18
450.2139762436443,2,18
452.16406836513886,0,19
463.8239941749081,1,19
471.773328031278,1,19
475.1995315502927,2,19
477.0277429141938,0,20
487.9834687912011,1,20
494.8494181356298,1,20
500.92991370890076,2,20
502.35185588082385,0,21
512.738804889062,1,21
